paper_id,title,year,journal,publication_status,doi,pmid,pmcid,therapy,datasets_used,verified,verification_source
P_ARJIS_UC,Mucosal gene signatures to predict response to infliximab in patients with ulcerative colitis,2009,Gut,published,10.1136/gut.2009.178665,19700435,,infliximab,GSE14580;GSE12251,True,PubMed;GEO;primary paper
P_OSM,Oncostatin M drives intestinal inflammation and predicts response to tumor necrosis factor-neutralizing therapy in patients with inflammatory bowel disease,2017,Nature Medicine,published,10.1038/nm.4307,28368383,PMC5420447,anti-TNF,classic anti-TNF cohorts plus discovery tissues,True,primary paper;PubMed
P_GAUJOUX,Cell-centred meta-analysis reveals baseline predictors of anti-TNFalpha non-response in biopsy and blood of patients with IBD,2019,Gut,published,10.1136/gutjnl-2017-315494,29618496,PMC6580771,anti-TNF,GSE14580;GSE12251;GSE16879;GSE107865,True,PMC6580771
P_SEVEN,A Multi-mRNA Prognostic Signature for Anti-TNFalpha Therapy Response in Patients with Inflammatory Bowel Disease,2021,Diagnostics,published,10.3390/diagnostics11101902,34679598,PMC8534494,anti-TNF,GSE12251;GSE23597;GSE14580;E-MTAB-7604,True,PMC8534494
P_VDZ4,Expression Levels of 4 Genes in Colon Tissue Might Be Used to Predict Which Patients Will Enter Endoscopic Remission After Vedolizumab Therapy for Inflammatory Bowel Diseases,2020,Clinical Gastroenterology and Hepatology,published,10.1016/j.cgh.2019.08.030,31446181,PMC7196933,vedolizumab,E-MTAB-7845;GSE73661;additional qPCR cohort,True,PMC7196933
P_MIN,MIN score predicts primary response to infliximab/adalimumab and vedolizumab therapy in patients with inflammatory bowel diseases,2021,Genomics,published,10.1016/j.ygeno.2021.04.011,33872704,,anti-TNF;vedolizumab,multiple public and cellular datasets,True,PubMed 33872704
P_UST4,Machine learning gene expression predicting model for ustekinumab response in patients with Crohn's disease,2021,Immunity Inflammation and Disease,published,10.1002/iid3.506,34469062,PMC8589399,ustekinumab,GSE112366,True,PMC8589399
P_UST_HUB,Identifying hub genes in response to ustekinumab and the impact of ustekinumab treatment on fibrosis in Crohn's disease,2024,Frontiers in Immunology,published,10.3389/fimmu.2024.1401733,38840917,PMC11150586,ustekinumab,GSE112366;GSE207022;GSE207465,True,PMC11150586
P_UST_MH2,Intestinal mRNA expression profiles associated with mucosal healing in ustekinumab-treated Crohn's disease patients,2024,Journal of Translational Medicine,published,10.1186/s12967-024-05427-w,38926732,PMC11210135,ustekinumab,GSE207022;MORE NCT05542459,True,PMC11210135
P_UC4_CROSS,Ulcerative colitis immune cell landscapes and differentially expressed gene signatures determine novel regulators and predict clinical response to biologic therapy,2021,Scientific Reports,published,10.1038/s41598-021-88489-w,33907256,PMC8093422,anti-TNF;anti-alpha4beta7,GSE12251;GSE73661,True,primary article
P_ANDO2026,Intestinal transcriptomic analysis and prediction of biomarkers associated with mucosal healing following vedolizumab treatment in ulcerative colitis using machine learning,2026,BMC Gastroenterology,published,10.1186/s12876-025-04599-z,41547753,PMC12896092,vedolizumab,GSE282580;GSE73661,True,PMC12896092
P_ANTI2026,A reproducible pretreatment mucosal-inflammatory-remodeling state associated with primary non-response to anti-TNF therapy in ulcerative colitis,2026,Frontiers in Genetics,published,10.3389/fgene.2026.1845510,,,anti-TNF,GSE12251;GSE16879;GSE23597,True,publisher full text
P_IL11_2026,IL11+ fibroblasts are implicated in nonresponse to anti-TNF-alpha via fibrosis in inflammatory bowel disease,2026,JCI Insight,published,10.1172/jci.insight.198895,,,anti-TNF,GSE16879;GSE12251;GSE23597;GSE212849,True,JCI article
P_VDZ5_2026,Downregulated interferon signalling in T cells is associated with response to vedolizumab,2026,medRxiv,preprint,,,,vedolizumab,Liverpool;Miami GSE184593;Kiel GSE191328;Stockholm;Berlin GSE261334,True,medRxiv full text
P_MULTI2026,Multi-omics reveals fibroblast subtypes linked to response across biologic therapies in inflammatory bowel disease,2026,Biology Direct,published,10.1186/s13062-026-00853-w,,,infliximab;vedolizumab;ustekinumab;olamkicept,GSE12251;GSE16879;GSE23597;GSE234736;GSE206285;GSE207022;GSE171770,True,publisher full text
P_BIOSTOP,Longitudinal transcriptomic analysis of mucosa in ulcerative colitis after anti-tumor necrosis factor withdrawal compared to continued treatment,2026,Journal of Crohn's and Colitis,published,10.1093/ecco-jcc/jjag121,42586604,PMC13467011,anti-TNF withdrawal/continuation,BIOSTOP,True,OUP;PubMed
